student_id,cgpa_cumulative,backlogs_count,backlogs_age_max_weeks,branch,entrance_percentile,admission_category,social_category,home_state,schooling_medium,hosteller_flag,mean_attendance_pct,min_attendance_pct,attendance_debarment_threshold,attendance_condonation_band_low,attendance_condonation_band_high,consecutive_absence_streak_max,attendance_trend,timing_of_decline,classes_total_in_sem,classes_conducted_so_far,classes_remaining_in_sem,max_possible_attendance_pct,attendance_debarment_mathematically_certain,avg_pace_score,avg_clarity_score,avg_doubt_resolution_score,avg_teaching_style_fit_score,diagnostic_content_score,diagnostic_delivery_sensitive_score,avg_session_engagement_exposure,vtop_login_freq_per_week,submission_timing_relative,footfall_library_freq_per_week,hostel_curfew_violations,fee_payment_status,scholarship_category,education_loan_status,family_income_bracket,first_gen_college_goer,latent_risk_score,true_dominant_cluster,risk_level,risk_level_label,mentor_flag_category
S00067,7.96,0,0,SENSE-ECE,93.4,Government Quota,General,Andhra Pradesh,CBSE,Hosteller,79.3,61.9,65.0,65.0,75.0,10,stable,none,50,25,25,90.0,0,-1.0,4.53,3.67,3.65,0.959,1.0,0.208,7.65,0.04,2.61,0.0,Fee Due >30 Days,No Scholarship,Active Loan (No Stress Flagged),>8 LPA,Yes,0.162,financial,0,No Risk,none
S00068,8.79,0,0,SENSE-ECE,84.5,Government Quota,General,Other,CBSE,Hosteller,94.8,91.8,65.0,65.0,75.0,2,stable,none,50,23,27,98.0,0,0.29,4.2,4.37,1.82,0.946,1.0,0.793,8.72,1.06,4.86,2.0,Fee Due >30 Days,No Scholarship,No Loan,2.5-8 LPA,No,0.0933,financial,0,No Risk,none
S00069,9.0,1,15,SBST-BIOTECH,99.9,Government Quota,EWS,Tamil Nadu,CBSE,Hosteller,74.5,64.8,65.0,65.0,75.0,4,stable,none,50,25,25,88.0,0,1.0,4.64,1.0,3.92,0.568,0.797,0.466,12.5,-1.0,0.0,0.0,Fee Due >30 Days,No Scholarship,Active Loan (Repayment Stress Flagged),<2.5 LPA,No,0.2441,financial,2,Attendance-Debarment Risk,financial
S00070,8.68,0,0,SMEC-MECH,97.2,Government Quota,EWS,Tamil Nadu,State Board,Hosteller,98.0,89.6,65.0,65.0,75.0,3,stable,none,50,37,13,98.0,0,0.16,2.31,3.47,3.72,1.0,1.0,0.869,7.01,-0.45,3.96,1.0,Fully Paid,No Scholarship,Active Loan (Repayment Stress Flagged),<2.5 LPA,Yes,0.0836,financial,0,No Risk,none
S00071,8.65,0,0,SCOPE-CSE,98.9,Management Quota,OBC,Tamil Nadu,CBSE,DayScholar,89.5,62.9,65.0,65.0,75.0,6,stable,none,50,46,4,90.0,0,-1.0,4.17,3.25,1.44,0.971,0.863,0.632,7.34,-1.26,2.12,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.0839,pedagogy,0,No Risk,none
S00072,5.4,4,11,SCOPE-CSE,62.0,Management Quota,ST,Karnataka,CBSE,Hosteller,64.4,54.2,65.0,65.0,75.0,6,stable,none,50,27,23,80.0,0,1.0,3.06,4.55,5.0,0.454,0.455,0.563,3.43,1.33,0.96,3.0,Fully Paid,Merit-Based,No Loan,>8 LPA,No,0.1213,academic,0,No Risk,none
S00073,7.22,1,1,SCE-CIVIL,60.4,Management Quota,ST,Uttar Pradesh,State Board,Hosteller,84.5,78.5,65.0,65.0,75.0,3,stable,none,50,25,25,92.0,0,-0.48,1.66,1.91,2.09,0.699,0.513,0.461,7.18,-0.54,5.65,1.0,On Installment (On-Time),Institutional Need-Based,Active Loan (Repayment Stress Flagged),>8 LPA,No,0.0195,pedagogy,0,No Risk,none
S00074,8.3,0,0,SCOPE-CSE,78.2,Government Quota,SC,Other,CBSE,Hosteller,78.6,76.8,65.0,65.0,75.0,4,stable,none,50,16,34,94.0,0,0.18,3.5,,2.7,0.945,0.894,0.617,16.63,-0.22,0.0,0.0,On Installment (Overdue),Merit-Based,Active Loan (No Stress Flagged),<2.5 LPA,No,0.2229,financial,1,Backlog / Academic-Probation Risk,financial
S00075,9.16,0,0,SENSE-ECE,97.8,Government Quota,General,Andhra Pradesh,CBSE,DayScholar,81.5,75.2,65.0,65.0,75.0,6,stable,none,50,28,22,90.0,0,-1.0,3.28,,3.19,0.646,0.849,0.597,9.79,-0.47,5.16,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),>8 LPA,No,0.1428,financial,0,No Risk,none
S00076,5.42,5,18,SMEC-MECH,62.0,Government Quota,OBC,Tamil Nadu,State Board,Hosteller,49.9,33.8,65.0,65.0,75.0,13,stable,none,50,38,12,62.0,1,-0.3,1.4,4.88,4.89,0.596,0.521,0.358,12.55,1.43,1.12,3.0,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,No,0.3397,attendance,3,Withdrawal / Discontinuation Risk,academic
S00077,7.65,1,21,SBST-BIOTECH,60.5,Government Quota,ST,West Bengal,State Board,DayScholar,94.9,88.6,65.0,65.0,75.0,0,stable,none,50,47,3,96.0,0,0.38,4.21,2.4,4.64,0.808,0.677,0.774,7.87,1.31,2.82,,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),>8 LPA,Yes,0.0801,financial,0,No Risk,none
S00078,6.66,1,12,SENSE-ECE,50.0,Government Quota,OBC,Delhi-NCR,ICSE,DayScholar,69.8,60.2,65.0,65.0,75.0,5,declining,early,50,17,33,90.0,0,1.0,4.97,3.25,3.49,0.518,0.611,0.398,12.92,1.11,2.34,,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,No,0.0,visual_engagement,0,No Risk,none
S00079,8.68,0,0,SMEC-MECH,96.7,Government Quota,OBC,Bihar,State Board,Hosteller,82.0,79.5,65.0,65.0,75.0,0,stable,none,50,47,3,84.0,0,0.21,2.55,3.79,2.39,0.763,0.705,0.348,8.73,0.02,2.2,1.0,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,Yes,0.0762,pedagogy,0,No Risk,none
S00080,9.32,0,0,SBST-BIOTECH,98.5,Management Quota,General,Karnataka,CBSE,DayScholar,62.2,59.7,65.0,65.0,75.0,5,declining,late,50,15,35,88.0,0,-1.0,2.22,3.23,3.03,1.0,1.0,0.381,10.44,0.29,1.28,,Fully Paid,No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,No,0.15,financial,0,No Risk,none
S00081,5.17,2,6,SCE-CIVIL,32.1,Management Quota,OBC,Andhra Pradesh,State Board,Hosteller,88.5,85.0,65.0,65.0,75.0,2,stable,none,50,14,36,96.0,0,0.14,2.91,2.3,3.23,0.793,0.662,0.444,5.09,1.63,2.08,1.0,On Installment (On-Time),Merit-Based,No Loan,<2.5 LPA,No,0.0,academic,0,No Risk,none
S00082,6.72,1,2,SCOPE-CSE,48.4,Management Quota,OBC,Tamil Nadu,State Board,Hosteller,58.6,54.8,65.0,65.0,75.0,9,stable,none,50,44,6,64.0,1,0.27,4.25,2.54,1.78,0.592,0.743,0.221,7.42,-1.92,6.51,5.0,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.3885,attendance,3,Withdrawal / Discontinuation Risk,academic
S00083,7.31,0,0,SMEC-MECH,65.1,Management Quota,General,Tamil Nadu,CBSE,Hosteller,74.6,69.3,65.0,65.0,75.0,14,recovering,none,50,33,17,84.0,0,0.88,4.18,3.02,3.97,0.634,0.667,0.562,12.62,-1.08,1.29,0.0,Fully Paid,Merit-Based,No Loan,<2.5 LPA,Yes,0.0252,behavioural,0,No Risk,none
S00084,6.69,0,0,SCOPE-CSE,68.7,Government Quota,OBC,Kerala,State Board,Hosteller,61.5,61.3,65.0,65.0,75.0,9,declining,late,50,11,39,92.0,0,1.0,5.0,5.0,2.48,0.817,1.0,0.196,11.48,-0.21,4.11,3.0,Fee Due >30 Days,Institutional Need-Based,Active Loan (No Stress Flagged),2.5-8 LPA,Yes,0.2311,financial,1,Backlog / Academic-Probation Risk,financial
S00085,8.99,0,0,SCOPE-CSE,86.8,Government Quota,ST,Bihar,CBSE,DayScholar,79.3,78.0,65.0,65.0,75.0,4,declining,early,50,30,20,88.0,0,0.51,2.72,2.11,2.14,0.975,1.0,0.5,11.72,-1.94,1.64,,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),<2.5 LPA,No,0.1662,financial,0,No Risk,none
S00086,8.1,0,0,SMEC-MECH,80.9,Management Quota,EWS,West Bengal,State Board,DayScholar,81.7,65.0,65.0,65.0,75.0,8,stable,none,50,12,38,96.0,0,-0.08,2.84,,2.19,0.957,0.957,0.413,12.43,-0.66,0.19,,Fully Paid,No Scholarship,No Loan,>8 LPA,No,0.0,pedagogy,0,No Risk,none
S00087,7.6,1,15,SBST-BIOTECH,83.2,Government Quota,OBC,Karnataka,State Board,Hosteller,88.9,82.2,65.0,65.0,75.0,0,stable,none,50,39,11,92.0,0,-0.54,4.4,3.6,2.05,0.713,0.709,0.694,13.03,0.96,1.49,0.0,Fee Due >30 Days,Category-Based,Active Loan (No Stress Flagged),<2.5 LPA,Yes,0.1805,financial,0,No Risk,none
S00088,7.13,2,20,SCE-CIVIL,70.6,Government Quota,General,Other,State Board,Hosteller,45.8,42.3,65.0,65.0,75.0,8,stable,none,50,11,39,88.0,0,0.15,5.0,3.27,3.7,0.603,0.705,0.0,13.23,-0.78,7.06,0.0,Fully Paid,No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,No,0.2014,visual_engagement,1,Backlog / Academic-Probation Risk,pedagogical
S00089,6.9,0,0,SENSE-ECE,73.1,Government Quota,OBC,Bihar,CBSE,Hosteller,74.6,73.4,65.0,65.0,75.0,2,declining,early,50,24,26,88.0,0,1.0,3.44,2.77,2.63,0.508,0.764,0.545,9.0,1.15,4.38,3.0,Fully Paid,Merit-Based,No Loan,<2.5 LPA,No,0.0,pedagogy,0,No Risk,none
S00090,8.4,0,0,SMEC-MECH,76.8,Government Quota,OBC,West Bengal,ICSE,DayScholar,55.5,20.0,65.0,65.0,75.0,8,declining,late,50,9,41,92.0,0,-0.14,3.51,,2.04,0.714,0.766,0.243,11.72,-1.33,3.71,,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,No,0.2119,visual_engagement,1,Backlog / Academic-Probation Risk,pedagogical
S00091,6.68,1,4,SCE-CIVIL,73.2,Government Quota,General,Kerala,CBSE,Hosteller,66.8,59.7,65.0,65.0,75.0,4,stable,none,50,45,5,70.0,0,-0.35,3.03,2.95,4.58,0.698,0.946,0.388,8.63,-0.1,3.51,2.0,On Installment (On-Time),Category-Based,Active Loan (No Stress Flagged),>8 LPA,Yes,0.1176,financial,0,No Risk,none
S00092,4.94,1,2,SCOPE-CSE,49.1,Government Quota,EWS,Tamil Nadu,State Board,DayScholar,67.1,65.1,65.0,65.0,75.0,7,stable,none,50,34,16,78.0,0,0.75,2.72,2.05,4.73,0.396,0.583,0.442,6.45,-0.62,4.56,,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),<2.5 LPA,No,0.201,financial,1,Backlog / Academic-Probation Risk,financial
S00093,8.68,0,0,SCOPE-CSE,78.5,Government Quota,General,Bihar,State Board,Hosteller,70.1,56.0,65.0,65.0,75.0,10,stable,none,50,29,21,82.0,0,0.44,3.74,,3.36,0.93,0.895,0.445,12.01,-0.77,3.1,0.0,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,No,0.1892,financial,1,Backlog / Academic-Probation Risk,financial
S00094,8.81,0,0,SCOPE-CSE,99.9,Government Quota,SC,Andhra Pradesh,CBSE,Hosteller,82.9,82.7,65.0,65.0,75.0,7,stable,none,50,24,26,92.0,0,1.0,3.24,2.53,3.35,0.963,1.0,0.61,8.07,0.24,1.25,1.0,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),>8 LPA,No,0.0,financial,0,No Risk,none
S00095,8.42,0,0,SCE-CIVIL,87.9,Management Quota,General,Tamil Nadu,State Board,Hosteller,88.3,84.8,65.0,65.0,75.0,5,declining,early,50,19,31,96.0,0,-1.0,2.68,2.0,3.28,1.0,0.854,0.558,13.07,-0.52,1.85,1.0,Fee Due >30 Days,No Scholarship,No Loan,<2.5 LPA,Yes,0.0853,financial,0,No Risk,none
S00096,7.49,0,0,SMEC-MECH,75.6,Government Quota,General,Maharashtra,CBSE,Hosteller,100.0,96.0,65.0,65.0,75.0,1,stable,none,50,26,24,100.0,0,-1.0,3.76,,2.49,0.739,0.839,0.526,8.65,1.41,0.85,3.0,Fee Due >30 Days,No Scholarship,No Loan,<2.5 LPA,Yes,0.1259,financial,0,No Risk,none
S00097,8.21,0,0,SENSE-ECE,82.3,Management Quota,ST,Other,ICSE,Hosteller,63.1,48.6,65.0,65.0,75.0,5,declining,early,50,15,35,88.0,0,1.0,2.62,3.42,2.31,0.87,1.0,0.273,11.19,-2.85,2.92,5.0,On Installment (Overdue),No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.4128,behavioural,3,Withdrawal / Discontinuation Risk,psychosocial
S00098,7.75,0,0,SCOPE-CSE,86.5,Government Quota,OBC,Andhra Pradesh,State Board,Hosteller,67.7,46.5,65.0,65.0,75.0,5,stable,none,50,43,7,72.0,0,-0.47,4.12,3.23,2.96,0.797,0.908,0.624,12.82,0.88,9.18,4.0,Fully Paid,Institutional Need-Based,No Loan,2.5-8 LPA,No,0.0214,behavioural,0,No Risk,none
S00099,7.81,0,0,SCE-CIVIL,65.0,Management Quota,OBC,Kerala,State Board,DayScholar,83.4,74.5,65.0,65.0,75.0,3,stable,none,50,27,23,92.0,0,0.02,3.47,2.86,3.46,0.738,0.737,0.593,6.76,-1.73,2.3,,On Installment (On-Time),No Scholarship,No Loan,2.5-8 LPA,No,0.0481,behavioural,0,No Risk,none
S00100,7.25,3,12,SBST-BIOTECH,83.1,Government Quota,General,Other,CBSE,Hosteller,76.0,75.9,65.0,65.0,75.0,4,stable,none,50,13,37,94.0,0,0.39,2.22,,3.12,0.771,0.744,0.429,3.89,-1.18,1.83,0.0,On Installment (On-Time),No Scholarship,Active Loan (Repayment Stress Flagged),>8 LPA,Yes,0.1685,financial,0,No Risk,none
S00101,8.46,0,0,SENSE-ECE,99.9,Management Quota,SC,Karnataka,CBSE,Hosteller,67.1,47.1,65.0,65.0,75.0,9,stable,none,50,28,22,82.0,0,0.48,2.6,1.26,2.91,0.906,0.968,0.286,13.16,-1.62,0.5,5.0,Fee Due >30 Days,Merit-Based,Active Loan (No Stress Flagged),<2.5 LPA,No,0.2075,financial,1,Backlog / Academic-Probation Risk,financial
S00102,7.65,1,11,SENSE-ECE,76.0,Management Quota,OBC,Tamil Nadu,CBSE,Hosteller,82.5,73.1,65.0,65.0,75.0,2,recovering,none,50,35,15,88.0,0,-1.0,4.9,,3.51,0.573,0.721,0.447,9.8,-0.38,6.85,0.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.0902,academic,0,No Risk,none
S00103,6.99,1,4,SENSE-ECE,66.9,Government Quota,OBC,West Bengal,State Board,Hosteller,75.3,60.5,65.0,65.0,75.0,11,stable,none,50,19,31,90.0,0,-1.0,3.99,,4.76,0.414,0.606,0.565,4.86,-0.4,5.19,3.0,Fully Paid,No Scholarship,Active Loan (Repayment Stress Flagged),<2.5 LPA,No,0.2058,financial,1,Backlog / Academic-Probation Risk,financial
S00104,9.15,0,0,SENSE-ECE,88.1,Management Quota,General,Andhra Pradesh,State Board,Hosteller,76.6,74.9,65.0,65.0,75.0,8,stable,none,50,37,13,82.0,0,0.86,3.27,3.03,4.72,1.0,0.894,0.486,14.94,-0.28,3.9,1.0,On Installment (Overdue),Category-Based,Active Loan (Repayment Stress Flagged),>8 LPA,No,0.1974,financial,1,Backlog / Academic-Probation Risk,financial
S00105,7.58,0,0,SCOPE-CSE,70.4,Government Quota,EWS,Delhi-NCR,State Board,Hosteller,61.0,53.8,65.0,65.0,75.0,6,stable,none,50,19,31,86.0,0,-1.0,3.39,3.09,4.71,0.811,0.878,0.149,12.81,-0.43,4.73,6.0,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,Yes,0.1867,visual_engagement,1,Backlog / Academic-Probation Risk,pedagogical
S00106,6.71,1,1,SCOPE-CSE,49.4,Government Quota,General,Bihar,CBSE,Hosteller,76.0,70.0,65.0,65.0,75.0,5,stable,none,50,14,36,94.0,0,0.39,4.35,4.16,3.76,0.66,0.667,0.232,10.52,0.09,4.12,0.0,On Installment (Overdue),No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,Yes,0.1617,financial,0,No Risk,none
S00107,7.04,2,3,SENSE-ECE,78.0,Government Quota,SC,Karnataka,State Board,Hosteller,54.7,49.5,65.0,65.0,75.0,4,stable,none,50,45,5,60.0,1,1.0,3.57,1.49,4.87,0.822,0.847,0.324,6.7,-0.68,2.07,4.0,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,No,0.3864,attendance,3,Withdrawal / Discontinuation Risk,academic
S00108,9.06,0,0,SBST-BIOTECH,74.0,Management Quota,SC,Bihar,ICSE,DayScholar,72.2,65.0,65.0,65.0,75.0,10,recovering,none,50,23,27,88.0,0,1.0,3.74,,1.84,1.0,1.0,0.344,9.18,-1.58,5.85,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.2092,behavioural,1,Backlog / Academic-Probation Risk,psychosocial
S00109,8.34,0,0,SCOPE-CSE,84.3,Management Quota,General,Tamil Nadu,ICSE,Hosteller,74.8,73.0,65.0,65.0,75.0,2,stable,none,50,37,13,82.0,0,-0.88,1.77,3.84,3.93,0.919,0.664,0.285,15.92,-1.15,4.22,2.0,On Installment (On-Time),Merit-Based,Active Loan (Repayment Stress Flagged),2.5-8 LPA,No,0.1839,pedagogy,1,Backlog / Academic-Probation Risk,pedagogical
S00110,10.0,0,0,SBST-BIOTECH,99.9,Management Quota,General,West Bengal,ICSE,DayScholar,71.6,68.9,65.0,65.0,75.0,8,recovering,none,50,10,40,94.0,0,-0.71,2.76,3.87,3.17,0.973,1.0,0.399,9.17,0.37,4.34,,On Installment (Overdue),No Scholarship,No Loan,<2.5 LPA,Yes,0.1621,financial,0,No Risk,none
S00111,7.79,1,6,SBST-BIOTECH,79.2,Government Quota,General,Kerala,CBSE,Hosteller,81.0,75.0,65.0,65.0,75.0,0,stable,none,50,38,12,86.0,0,0.06,3.05,5.0,2.73,0.708,0.552,0.419,4.37,0.53,8.6,1.0,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,Yes,0.0799,visual_engagement,0,No Risk,none
S00112,6.9,2,17,SCE-CIVIL,71.6,Government Quota,General,West Bengal,CBSE,Hosteller,83.1,79.0,65.0,65.0,75.0,0,stable,none,50,39,11,86.0,0,0.74,4.25,1.82,3.82,0.772,0.943,0.418,6.28,0.36,2.86,1.0,On Installment (Overdue),No Scholarship,No Loan,>8 LPA,No,0.1316,financial,0,No Risk,none
S00113,8.6,0,0,SENSE-ECE,99.9,Management Quota,OBC,West Bengal,CBSE,DayScholar,87.4,75.3,65.0,65.0,75.0,3,recovering,none,50,16,34,96.0,0,-0.26,2.75,3.63,4.38,0.466,0.371,0.594,9.7,0.3,3.54,,Fully Paid,Category-Based,No Loan,2.5-8 LPA,No,0.015,diagnostic,0,No Risk,none
S00114,8.91,0,0,SCOPE-CSE,77.8,Management Quota,General,Maharashtra,CBSE,Hosteller,76.9,74.6,65.0,65.0,75.0,3,stable,none,50,14,36,94.0,0,-0.77,5.0,,2.63,1.0,1.0,0.539,9.59,-0.42,2.66,1.0,Fully Paid,No Scholarship,No Loan,2.5-8 LPA,No,0.0756,behavioural,0,No Risk,none
S00115,7.24,0,0,SENSE-ECE,62.8,Government Quota,EWS,Uttar Pradesh,State Board,Hosteller,80.1,70.7,65.0,65.0,75.0,3,recovering,none,50,45,5,82.0,0,-0.95,5.0,2.1,3.82,0.974,1.0,0.569,10.05,-1.13,2.02,0.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.0441,behavioural,0,No Risk,none
S00116,8.19,0,0,SCE-CIVIL,67.7,Government Quota,General,Karnataka,CBSE,Hosteller,76.9,68.7,65.0,65.0,75.0,5,stable,none,50,21,29,90.0,0,-0.85,4.13,1.8,5.0,0.723,0.812,0.546,11.99,-1.62,2.54,0.0,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.2446,behavioural,2,Attendance-Debarment Risk,psychosocial
S00117,6.02,1,2,SENSE-ECE,67.9,Government Quota,General,Uttar Pradesh,ICSE,Hosteller,64.8,50.9,65.0,65.0,75.0,6,stable,none,50,9,41,94.0,0,-1.0,2.07,2.14,4.16,0.654,0.717,0.395,10.13,1.1,3.94,4.0,On Installment (On-Time),No Scholarship,No Loan,>8 LPA,No,0.0823,pedagogy,0,No Risk,none
S00118,6.88,1,8,SENSE-ECE,74.4,Government Quota,OBC,Karnataka,ICSE,Hosteller,70.5,65.3,65.0,65.0,75.0,8,stable,none,50,17,33,90.0,0,-0.36,3.26,,2.41,0.532,0.483,0.28,4.81,0.12,3.47,2.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,No,0.0712,visual_engagement,0,No Risk,none
S00119,5.62,2,13,SCOPE-CSE,54.5,Government Quota,EWS,Andhra Pradesh,CBSE,Hosteller,83.2,82.1,65.0,65.0,75.0,0,stable,none,50,41,9,86.0,0,-1.0,3.75,3.6,5.0,0.777,0.784,0.494,10.41,-0.94,5.33,1.0,On Installment (On-Time),Category-Based,No Loan,<2.5 LPA,No,0.0219,behavioural,0,No Risk,none
S00120,7.66,0,0,SBST-BIOTECH,75.1,Management Quota,General,Delhi-NCR,CBSE,DayScholar,87.6,54.0,65.0,65.0,75.0,7,recovering,none,50,11,39,98.0,0,0.47,4.09,3.48,5.0,0.763,0.749,0.555,10.28,-0.25,2.94,,On Installment (On-Time),Sports-Cultural Quota,No Loan,2.5-8 LPA,Yes,0.0216,attendance,0,No Risk,none
S00121,8.22,0,0,SCOPE-CSE,88.3,Government Quota,General,Uttar Pradesh,State Board,Hosteller,90.4,86.6,65.0,65.0,75.0,0,declining,early,50,8,42,98.0,0,-0.52,2.87,3.76,2.58,0.811,0.795,0.338,9.34,-0.26,2.68,2.0,On Installment (On-Time),Institutional Need-Based,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.1183,financial,0,No Risk,none
S00122,7.99,0,0,SBST-BIOTECH,69.4,Management Quota,OBC,Maharashtra,ICSE,Hosteller,80.7,80.3,65.0,65.0,75.0,1,declining,late,50,36,14,86.0,0,0.44,4.32,3.06,3.96,0.824,0.812,0.729,8.94,0.68,0.0,2.0,On Installment (Overdue),No Scholarship,No Loan,2.5-8 LPA,Yes,0.165,financial,0,No Risk,none
S00123,7.81,0,0,SCOPE-CSE,89.6,Government Quota,EWS,Uttar Pradesh,CBSE,Hosteller,78.9,77.9,65.0,65.0,75.0,0,stable,none,50,42,8,82.0,0,0.81,2.73,3.22,2.35,0.69,0.815,0.514,6.97,0.21,2.71,2.0,Fully Paid,Category-Based,No Loan,2.5-8 LPA,Yes,0.0,pedagogy,0,No Risk,none
S00124,8.31,0,0,SENSE-ECE,69.1,Government Quota,General,Andhra Pradesh,CBSE,DayScholar,92.6,92.2,65.0,65.0,75.0,6,recovering,none,50,17,33,98.0,0,-1.0,3.27,2.05,2.38,0.817,0.881,0.754,11.82,-0.03,1.51,,Fully Paid,Sports-Cultural Quota,No Loan,>8 LPA,Yes,0.0967,pedagogy,0,No Risk,none
S00125,6.44,1,11,SBST-BIOTECH,76.2,Management Quota,General,Kerala,International,Hosteller,87.9,86.4,65.0,65.0,75.0,0,stable,none,50,39,11,90.0,0,0.23,1.86,3.65,2.59,0.345,0.342,0.833,13.67,-0.36,3.02,1.0,Fully Paid,Institutional Need-Based,Active Loan (No Stress Flagged),<2.5 LPA,No,0.1504,pedagogy,0,No Risk,none
S00126,9.71,0,0,SCOPE-CSE,95.7,Government Quota,ST,Bihar,CBSE,Hosteller,65.7,63.5,65.0,65.0,75.0,4,declining,early,50,41,9,72.0,0,0.72,4.66,,2.44,1.0,1.0,0.429,10.61,0.13,2.84,2.0,On Installment (On-Time),Merit-Based,Active Loan (Repayment Stress Flagged),2.5-8 LPA,No,0.1239,financial,0,No Risk,none
S00127,7.45,0,0,SCE-CIVIL,82.5,Management Quota,General,Maharashtra,CBSE,DayScholar,91.8,71.6,65.0,65.0,75.0,0,stable,none,50,28,22,96.0,0,0.23,4.62,2.31,4.27,0.644,0.677,0.522,11.03,1.06,2.63,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),<2.5 LPA,No,0.106,financial,0,No Risk,none
S00128,6.98,0,0,SBST-BIOTECH,71.4,Government Quota,ST,Delhi-NCR,State Board,Hosteller,100.0,93.6,65.0,65.0,75.0,2,stable,none,50,27,23,100.0,0,-0.35,1.93,4.71,3.47,0.766,0.686,0.621,15.03,-0.29,2.11,1.0,On Installment (On-Time),Institutional Need-Based,No Loan,2.5-8 LPA,Yes,0.0,pedagogy,0,No Risk,none
S00129,7.82,0,0,SBST-BIOTECH,79.9,Government Quota,General,Karnataka,CBSE,Hosteller,73.5,54.2,65.0,65.0,75.0,6,stable,none,50,21,29,88.0,0,-1.0,3.62,2.81,4.45,0.853,0.941,0.222,15.51,-1.29,6.06,0.0,Fully Paid,No Scholarship,No Loan,>8 LPA,No,0.0,visual_engagement,0,No Risk,none
S00130,8.44,0,0,SCOPE-CSE,91.8,Government Quota,General,Kerala,International,Hosteller,86.2,83.5,65.0,65.0,75.0,1,stable,none,50,30,20,92.0,0,-0.82,2.75,2.9,2.95,1.0,1.0,0.603,8.89,-0.7,0.0,0.0,Fully Paid,Institutional Need-Based,No Loan,2.5-8 LPA,No,0.0,behavioural,0,No Risk,none
S00131,9.69,1,28,SBST-BIOTECH,99.9,Management Quota,General,Andhra Pradesh,State Board,DayScholar,69.7,68.5,65.0,65.0,75.0,6,stable,none,50,41,9,76.0,0,-1.0,5.0,4.71,2.32,0.831,0.815,0.427,9.7,-0.56,0.97,,On Installment (Overdue),No Scholarship,Active Loan (No Stress Flagged),<2.5 LPA,No,0.2932,financial,2,Attendance-Debarment Risk,financial
S00132,7.22,1,2,SBST-BIOTECH,67.0,Government Quota,General,Bihar,CBSE,Hosteller,92.8,89.5,65.0,65.0,75.0,7,recovering,none,50,36,14,94.0,0,0.61,2.08,2.2,4.13,0.747,0.562,0.606,5.02,-0.15,0.0,2.0,On Installment (Overdue),No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,Yes,0.2201,financial,1,Backlog / Academic-Probation Risk,financial
S00133,5.53,2,11,SENSE-ECE,42.6,Government Quota,OBC,Andhra Pradesh,CBSE,DayScholar,59.9,59.5,65.0,65.0,75.0,4,recovering,none,50,15,35,88.0,0,-0.21,2.92,3.72,3.35,0.716,0.65,0.417,10.62,-0.11,2.37,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),<2.5 LPA,No,0.0873,financial,0,No Risk,none
S00134,8.17,0,0,SENSE-ECE,82.7,Management Quota,OBC,Delhi-NCR,CBSE,DayScholar,82.8,81.6,65.0,65.0,75.0,4,stable,none,50,14,36,96.0,0,-0.26,5.0,2.49,2.43,0.865,0.828,0.47,3.54,0.14,2.0,,Fully Paid,No Scholarship,No Loan,>8 LPA,No,0.07,pedagogy,0,No Risk,none
S00135,5.86,1,6,SCE-CIVIL,59.9,Government Quota,General,Uttar Pradesh,State Board,DayScholar,76.1,70.7,65.0,65.0,75.0,0,stable,none,50,41,9,80.0,0,-0.84,3.82,3.38,4.44,0.408,0.425,0.483,7.39,1.33,4.82,,On Installment (Overdue),No Scholarship,No Loan,2.5-8 LPA,Yes,0.1435,financial,0,No Risk,none
